id,name,name_grel,name_grel_star,host_id,host_name,host_name 1,host_name 2,neighbourhood,neighbourhood_case,neighbourhood_loop,neighbourhood_cluster,latitude,longitude,room_type,price,price_crazy,minimum_nights,minimum_nights_long,number_of_reviews,last_review,last_review_timeless,reviews_per_month,calculated_host_listings_count,availability_365,name_grel 1,name_grel 2,name_grel 3,name_grel 4,name_grel 5,newname
2570620.0,"(Basement Studio w/Free St. Parking, Humboldt Park)","Basement Studio w/Free St. Parking, Humboldt Park","Basement Studio w/Free St. Parking, Humboldt Park",1214607,Coral,Coral,,Humboldt Park,Humboldt Park,Humboldt Park,Humboldt Park,41.89825789,-87.70335614,Entire home/apt,60,,1,,414,2018-11-12T00:00:00Z,2018-11-12,7.58,2,297,"Basement Studio w/Free St. Parking, Humboldt Park",,,,,
2585378.0,(Prime Wicker Park location w/ free parking),Prime Wicker Park location w/ free parking,Prime Wicker Park location w/ free parking,1,Ryan,Ryan,,West Town,West Town,West Town,West Town,41.90771898,-87.68121496,Private room,93,,18,,18,2018-10-28T00:00:00Z,2018-10-28,0.7,1,234,Prime Wicker Park location w/ free parking,,,,,
2604345.0,(Hyde Park. U of Chicago & Hospital.),Hyde Park. U of Chicago & Hospital.,Hyde Park. U of Chicago & Hospital.,1385332,Patt,Patt,,Kenwood,Kenwood,Kenwood,Kenwood,41.80457965,-87.60508459,Private room,26,,1,,19,2018-11-02T00:00:00Z,2018-11-02,0.34,8,347,Hyde Park. U of Chicago & Hospital.,,,,,
2604454.0,(Cozy Single-Family Home near University of Chicago),Cozy Single-Family Home near University of Chicago,Cozy Single-Family Home near University of Chicago,1,Greg,Greg,,hyde park,Hyde Park,Hyde Park,Hyde Park,41.78977182,-87.58915969,Entire home/apt,165,,1,,82,2018-10-29T00:00:00Z,2018-10-29,1.58,3,25,Cozy Single,Family Home near University of Chicago,,,,Cozy SingleFamily Home near University of Chicago
2612989.0,(Spacious 3 Bedroom- steps to train!),Spacious 3 Bedroom- steps to train!,Spacious 3 Bedroom- steps to train,2880338,Elizabeth,Elizabeth,,North Center,North Center,North Center,North Center,41.96089264,-87.67980648,Entire home/apt,150,,2,,23,2017-08-20T00:00:00Z,2017-08-20,0.43,4,365,Spacious 3 Bedroom, steps to train!,,,,Spacious 3 Bedroom steps to train!
2658946.0,(Lincoln Park Loft at the Zoo - 2 bedrooms/2bath),Lincoln Park Loft at the Zoo - 2 bedrooms/2bath,Lincoln Park Loft at the Zoo - 2 bedrooms/2bath,1,Jessica,Jessica,,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.91720757,-87.63629642,Entire home/apt,95,,1,,334,2018-11-09T00:00:00Z,2018-11-09,5.95,4,74,Lincoln Park Loft at the Zoo , 2 bedrooms/2bath,,,,Lincoln Park Loft at the Zoo  2 bedrooms/2bath
2666755.0,(Chicago NAVY PIER Furnished Studio),Chicago NAVY PIER Furnished Studio,Chicago NAVY PIER Furnished Studio,40731,Dominic,Dominic,,Near North Side,Near North Side,Near North Side,Near North Side,41.89092934,-87.61930223,Entire home/apt,57,,365,1,2,2015-10-12T00:00:00Z,2015-10-12,0.05,2,358,Chicago NAVY PIER Furnished Studio,,,,,
2670669.0,(Cozy Logan Square condo),Cozy Logan Square condo,Cozy Logan Square condo,1,Ashvin,Ashvin,,Logan Square,Logan Square,Logan Square,Logan Square,41.92410445,-87.70589829,Entire home/apt,85,,5,,33,2018-08-26T00:00:00Z,2018-08-26,0.6,1,223,Cozy Logan Square condo,,,,,
2671680.0,(Magnolia Airbnb),Magnolia Airbnb,Magnolia Airbnb,1,Soo,Soo,,Edgewater,Edgewater,Edgewater,Edgewater,41.9870529,-87.66228253,Private room,85,,3,,69,2018-11-02T00:00:00Z,2018-11-02,1.24,1,365,Magnolia Airbnb,,,,,
2688739.0,(Luxury finishes in vintage wood trimmed apartment),Luxury finishes in vintage wood trimmed apartment,Luxury finishes in vintage wood trimmed apartment,1,David,David,,Near West Side,Near West Side,Near West Side,Near West Side,41.86759465,-87.6820395,Private room,87,,1,,31,2018-08-25T00:00:00Z,2018-08-25,0.57,3,228,Luxury finishes in vintage wood trimmed apartment,,,,,
2693387.0,"(The Bucktown Penthouse Family, Business, Friends)","The Bucktown Penthouse Family, Business, Friends","The Bucktown Penthouse Family, Business, Friends",1,Nora,Nora,,Logan Square,Logan Square,Logan Square,Logan Square,41.91432191,-87.67370424,Entire home/apt,99,,1,,53,2018-10-29T00:00:00Z,2018-10-29,3.52,1,82,"The Bucktown Penthouse Family, Business, Friends",,,,,
2695259.0,(Grand Vintage Lincoln Park Penthouse - 2 Bedrooms.),Grand Vintage Lincoln Park Penthouse - 2 Bedrooms.,Grand Vintage Lincoln Park Penthouse - 2 Bedrooms.,1,Kristi,Kristi,,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.93226572,-87.64879231,Entire home/apt,159,,1,,35,2018-11-12T00:00:00Z,2018-11-12,2.4,1,16,Grand Vintage Lincoln Park Penthouse , 2 Bedrooms.,,,,Grand Vintage Lincoln Park Penthouse  2 Bedrooms.
2715815.0,(Modern Loft Right by McCormick LUX - KING SIZE BED),Modern Loft Right by McCormick LUX - KING SIZE BED,Modern Loft Right by McCormick LUX - KING SIZE BED,3965428,Rob,Rob,,Near South Side,Near South Side,Near South Side,Near South Side,41.85445048,-87.62432088,Entire home/apt,130,,32,,14,2016-06-10T00:00:00Z,2016-06-10,0.26,16,365,Modern Loft Right by McCormick LUX , KING SIZE BED,,,,Modern Loft Right by McCormick LUX  KING SIZE BED
2730613.0,(Sweet Spacious Suite: Country in the City),Sweet Spacious Suite: Country in the City,Sweet Spacious Suite: Country in the City,1,Janine,Janine,,Morgan Park,Morgan Park,Morgan Park,Morgan Park,41.68612435,-87.67735244,Entire home/apt,79,,2,,119,2018-10-14T00:00:00Z,2018-10-14,2.17,2,359,Sweet Spacious Suite: Country in the City,,,,,
2731202.0,(Cozy Faux Cabin Flat/ Fireplace),Cozy Faux Cabin Flat/ Fireplace,Cozy Faux Cabin Flat/ Fireplace,1,Janine,Janine,,Morgan Park,Morgan Park,Morgan Park,Morgan Park,41.68581864,-87.68066797,Entire home/apt,76,,2,,111,2018-10-27T00:00:00Z,2018-10-27,2.55,2,350,Cozy Faux Cabin Flat/ Fireplace,,,,,
2737979.0,"(Peaceful Rest in Urban Farmhouse, Gold Room)","Peaceful Rest in Urban Farmhouse, Gold Room","Peaceful Rest in Urban Farmhouse, Gold Room",1,Kelli And Jimmy,Kelli,Jimmy,Portage Park,Portage Park,Portage Park,Portage Park,41.94475239,-87.76953452,Private room,49,,90,,34,2018-07-25T00:00:00Z,2018-07-25,0.68,1,133,"Peaceful Rest in Urban Farmhouse, Gold Room",,,,,
2764548.0,(Modern 1 bedroom in Rogers Park!),Modern 1 bedroom in Rogers Park!,Modern 1 bedroom in Rogers Park,1,David,David,,Rogers Park,Rogers Park,Rogers Park,Rogers Park,42.0059792,-87.67210972,Entire home/apt,96,,2,,119,2018-10-02T00:00:00Z,2018-10-02,2.28,1,332,Modern 1 bedroom in Rogers Park!,,,,,
2778030.0,"(New Renovated Home by IIT/McCormick, Free Parking!)","New Renovated Home by IIT/McCormick, Free Parking!","New Renovated Home by IIT/McCormick, Free Parking",399682,Jay,Jay,,Douglas,Douglas,Douglas,Douglas,41.82733523,-87.61870905,Private room,70,,2,,147,2018-10-18T00:00:00Z,2018-10-18,2.65,3,334,"New Renovated Home by IIT/McCormick, Free Parking!",,,,,
2782345.0,"(1 Bed/Bath. Near Lake, Zoo, Wrigley)","1 Bed/Bath. Near Lake, Zoo, Wrigley","1 Bed/Bath. Near Lake, Zoo, Wrigley",1,Brian,Brian,,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.92984777,-87.6435345,Entire home/apt,124,,3,,61,2018-10-28T00:00:00Z,2018-10-28,1.1,1,365,"1 Bed/Bath. Near Lake, Zoo, Wrigley",,,,,
2817608.0,"(Luxury Three Bedroom, Two Bathroom Apartment)","Luxury Three Bedroom, Two Bathroom Apartment","Luxury Three Bedroom, Two Bathroom Apartment",791089,Conrad,Conrad,,Lake view,Lake View,Lake View,Lake View,41.94278185,-87.67221493,Entire home/apt,380,,3,,12,2018-08-13T00:00:00Z,2018-08-13,0.23,4,365,"Luxury Three Bedroom, Two Bathroom Apartment",,,,,
2824585.0,(#54-Home away from home- Safe place),#54-Home away from home- Safe place,#54-Home away from home- Safe place,1,Ed,Ed,,Dunning,Dunning,Dunning,Dunning,41.9443512,-87.79968632,Private room,39,,2,,13,2018-09-18T00:00:00Z,2018-09-18,0.24,7,319,#54,Home away from home, Safe place,,,#54Home away from home
2837123.0,"(Sunny, cozy condo in Edgewater)","Sunny, cozy condo in Edgewater","Sunny, cozy condo in Edgewater",1266468,Julia,Julia,,Edgewater,Edgewater,Edgewater,Edgewater,41.98969976,-87.66382973,Entire home/apt,100,,2,,3,2014-06-30T00:00:00Z,2014-06-30,0.05,2,0,"Sunny, cozy condo in Edgewater",,,,,
2837146.0,(Urban Farm + Bikes in Roscoe Village),Urban Farm + Bikes in Roscoe Village,Urban Farm + Bikes in Roscoe Village,4009750,Matt,Matt,,North Center,North Center,North Center,North Center,41.94794984,-87.68314252,Entire home/apt,128,,2,,145,2018-10-21T00:00:00Z,2018-10-21,2.68,2,347,Urban Farm + Bikes in Roscoe Village,,,,,
2844042.0,"(Relax in a Custom, Creative, Artsy, Unique Apartment in West Town)","Relax in a Custom, Creative, Artsy, Unique Apartment in West Town","Relax in a Custom, Creative, Artsy, Unique Apartment in West Town",8813383,Mindy And Tony,Mindy,Tony,West Town,West Town,West Town,West Town,41.89425296,-87.68467553,Entire home/apt,99,,28,,141,2018-10-14T00:00:00Z,2018-10-14,2.57,3,242,"Relax in a Custom, Creative, Artsy, Unique Apartment in West Town",,,,,
2874467.0,(Delightful Private Room + Parking at Ellis Place),Delightful Private Room + Parking at Ellis Place,Delightful Private Room + Parking at Ellis Place,2465946,Bonita And Frank,Bonita,Frank,Oakland,Oakland,Oakland,Oakland,41.82871951,-87.60826372,Private room,38,,1,,179,2018-10-28T00:00:00Z,2018-10-28,3.25,4,358,Delightful Private Room + Parking at Ellis Place,,,,,
2874486.0,(Gorgeous Penthouse with Stunning Views from Private Rooftop),Gorgeous Penthouse with Stunning Views from Private Rooftop,Gorgeous Penthouse with Stunning Views from Private Rooftop,1,Ross,Ross,,West Town,West Town,West Town,West Town,41.90242582,-87.67027885,Entire home/apt,210,,2,,48,2018-10-17T00:00:00Z,2018-10-17,1.86,2,149,Gorgeous Penthouse with Stunning Views from Private Rooftop,,,,,
2879976.0,(Private Room (blue)-Avondale near blueline CTA),Private Room (blue)-Avondale near blueline CTA,Private Room (blue)-Avondale near blueline CTA,1,Valerie,Valerie,,Avondale,Avondale,Avondale,Avondale,41.93758242,-87.71240246,Private room,75,,1,,209,2018-10-27T00:00:00Z,2018-10-27,3.88,4,359,Private Room (blue),Avondale near blueline CTA,,,,Private Room (blue)Avondale near blueline CTA
2907112.0,(West Loop Modern Urban Retreat),West Loop Modern Urban Retreat,West Loop Modern Urban Retreat,6264764,Jeff And Jennifer,Jeff,Jennifer,Near West Side,Near West Side,Near West Side,Near West Side,41.88522559,-87.65194648,Private room,130,,4,,50,2018-10-09T00:00:00Z,2018-10-09,0.93,1,365,West Loop Modern Urban Retreat,,,,,
2907500.0,(The Red Room),The Red Room,The Red Room,1,Erik,Erik,,West Lawn,West Lawn,West Lawn,West Lawn,41.78354823,-87.72893646,Private room,34,,1,,301,2018-10-28T00:00:00Z,2018-10-28,5.79,3,343,The Red Room,,,,,
2934604.0,"(Cozy Wicker Park, Chicago Apartment)","Cozy Wicker Park, Chicago Apartment","Cozy Wicker Park, Chicago Apartment",9791233,John,John,,West Town,West Town,West Town,West Town,41.90440217,-87.67144894,Entire home/apt,110,,2,,213,2018-11-13T00:00:00Z,2018-11-13,3.95,1,165,"Cozy Wicker Park, Chicago Apartment",,,,,
2948367.0,(Private room in condo in Edgewater),Private room in condo in Edgewater,Private room in condo in Edgewater,1266468,Julia,Julia,,Edgewater,Edgewater,Edgewater,Edgewater,41.99176678,-87.66410162,Private room,50,,1,,4,2014-10-18T00:00:00Z,2014-10-18,0.08,2,0,Private room in condo in Edgewater,,,,,
